country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Colombia,2023,COL,52085168.0,,20.55,2.085,234.815,12.23,41.855,2.18,2.513,1.952,259.511,52.911,15.001,832.368,43.354,163.386,8.51,-5.882,-27.236,8366.706,435.781,9.811,6.92,87.17,86.74,16.835,2.691,16.418,12028.095,,5.676,23.919,558.124,29.07,8549.937,445.325,33.514,71.083,3.73,4.694,130.544,337.908,17.6,2506.364,-2.985,-3.711,2315.669,120.612,20.291,20.838,22.51,-6.999,-12.306,155.43,1041.371,54.24,2984.148,62.532,24.81,-1.809,-7.501,181.16,1107.225,57.67,3478.158,66.486,28.917,0.43,0.493,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.581,4.224,271.426,56.83,2.96,5211.205,3.046,14.074,9140.83,476.102,3.412,43.325,9.855,2.18,0.0,6.254,0.58,41.855,0.0,189.201,2.513,0.0,1.573,1665.349,626.485,-1.809,-7.501,181.16,1107.225,57.67,3478.158,66.486,28.917,138.731,1.806,3.117,19.967,1.04,59.84,1.199,0.498,171.902,0.334,0.529,4.032,0.21,10.154,0.242,0.084
Congo,2023,COG,6106869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,3.525,5.634,27093.217,165.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,2023,CRI,5212178.0,,,,,,32.616,0.17,1.418,,53.378,,,,,0.0,0.0,,,,,0.0,,12.32,11.99,,,,,,,,97.848,0.51,,,4.254,,,,,0.0,0.0,,,,,,0.0,,0.64,,,,1621.203,8.45,,70.475,,,,,2202.534,11.48,,95.746,,0.33,2.679,,,,0.0,0.0,,0.0,,,,,97.848,0.51,,,,,,4.254,,,1.49,1.32,,,285.869,253.253,,12.427,11.009,,2300.382,,,,,2202.534,11.48,,95.746,,,,,13.43,0.07,,0.584,,,,,282.032,1.47,,12.26,
Croatia,2023,HRV,4008615.0,,0.814,0.002,62.101,0.249,274.409,1.1,6.497,0.246,204.962,-17.36,-0.821,974.59,3.907,336.775,1.35,,,,,7.974,3.862,18.86,16.93,20.861,8.581,7.995,25236.199,,0.432,0.297,1309.679,5.25,17270.031,69.229,31.01,68.434,0.791,0.196,25.001,930.496,3.73,6236.926,,,,,22.032,24.714,3.47,49.653,6.99,21.224,1963.272,7.87,5294.697,46.486,20.981,32.731,7.697,31.933,2913.725,11.68,7966.17,68.99,31.566,1.93,10.233,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.922,40.321,42.409,0.17,10058.515,,,,,1.004,39.857,3.378,1.1,0.0,-11.569,-0.408,274.409,0.0,842.62,6.497,0.0,3.339,4223.404,101.162,32.731,7.697,31.933,2913.725,11.68,7966.17,68.99,31.566,148.145,0.583,0.979,47.398,0.19,244.26,1.122,0.968,9.901,0.53,6.103,628.646,2.52,1522.492,14.885,6.033
Cuba,2023,CUB,11194447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,2023,CUW,192090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,2023,CYP,1260144.0,,2.063,0.005,193.706,0.244,47.614,0.06,1.113,,534.323,-8.967,-0.032,257.028,0.324,0.0,0.0,,,,,0.0,,5.39,5.39,17.764,1.33,0.421,25469.945,,,,3412.309,4.3,,,79.777,,,,,0.0,0.0,,,,,,0.0,,2.88,,,,0.0,0.0,,0.0,,,,,864.981,1.09,,20.223,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,-0.199,-0.057,28.684,3412.309,4.3,22762.27,,,,,79.777,,0.157,0.06,0.0,-14.907,-0.028,47.614,0.0,124.678,1.113,0.0,,4277.289,32.096,,,,864.981,1.09,,20.223,,37.225,0.576,2.145,650.719,0.82,1702.508,15.213,,-7.04,-0.043,0.542,166.648,0.21,429.754,3.896,
Czechia,2023,CZE,10495297.0,,-6.263,-0.248,354.312,3.719,497.366,5.22,6.852,0.878,449.724,-15.329,-23.677,12461.036,130.782,2918.45,30.63,-15.217,-20.189,10717.7,112.485,40.207,30.891,67.77,76.18,21.207,-7.1,-32.358,40339.277,,-8.731,-30.016,3282.423,34.45,29895.691,313.764,45.222,74.111,-9.204,-6.789,66.975,225.815,2.37,6381.43,,,,,3.111,15.819,34.26,11.92,0.628,6.086,222.957,2.34,579.909,3.072,1.438,-1.975,-2.342,109.609,3976.066,41.73,10443.587,54.778,25.889,-8.41,-12.41,-1.971,-1.806,75.804,2896.535,30.4,7222.696,39.905,17.905,0.39,0.45,116.007,138.157,1.45,11053.226,,,,,1.903,27.401,16.483,5.22,0.0,-4.454,-0.768,497.366,0.0,1570.514,6.852,0.0,3.893,7258.489,423.373,-1.984,-0.536,33.804,1079.531,11.33,3220.891,14.873,7.985,-4.624,-0.298,5.694,290.606,3.05,542.552,4.004,1.345,9.368,0.15,1.822,68.602,0.72,173.604,0.945,0.43
Democratic Republic of Congo,2023,COD,102262808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2023,DNK,5910911.0,,-0.681,-0.019,464.427,2.745,1170.716,6.92,20.577,1.404,151.65,-33.57,-4.089,1368.859,8.091,451.707,2.67,,,,,7.939,4.138,36.48,33.63,23.326,-0.89,-1.755,33078.332,,-3.4,-3.941,705.475,4.17,18942.352,111.967,12.4,57.265,-3.707,-0.628,16.303,143.802,0.85,2758.037,-3.256,-0.472,2370.457,14.012,2.528,8.338,5.1,31.725,0.012,0.051,1.692,0.01,8.651,0.03,0.026,3.329,2.186,83.557,4984.003,29.46,14135.978,87.6,42.735,2.85,7.812,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894,0.776,87.573,109.966,0.65,14815.457,-8.253,-3.057,5749.203,33.983,1.933,44.789,21.347,6.92,0.0,-8.058,-1.871,1170.716,0.0,3611.376,20.577,0.0,10.918,5689.479,195.523,3.329,2.186,83.557,4984.003,29.46,14135.978,87.6,42.735,57.867,3.29,9.032,527.837,3.12,1528.087,9.277,4.62,1.929,0.773,50.381,3283.758,19.41,8523.436,57.716,25.767
Eastern Africa (EI),2023,,,,3.305,0.004,,0.137,,,,0.02,,11.595,7.067,,68.014,,,,,,,,9.92,,127.912,24.011,2.629,17.565,,,1.874,8.047,,,,437.396,,63.793,3.013,0.861,29.439,,,,,,,,,4.294,,3.193,5.848,213.349,,82.131,,64.209,31.116,4.199,9.518,248.255,,95.187,,74.416,36.207,,,,0.0,0.0,,0.0,,0.0,0.0,0.035,0.12,339.942,,,,,,,,,49.579,23.018,8.532,,17.369,3.622,,,,6.67,,3.357,,685.651,4.199,9.518,248.255,,95.187,,74.416,36.207,14.805,0.626,4.978,,1.917,,1.498,0.726,-7.583,-0.582,6.773,,2.607,,2.038,0.988
Ecuador,2023,ECU,18190492.0,,9.893,0.024,14.516,0.264,23.639,0.43,1.282,0.113,150.224,-13.941,-0.111,37.839,0.688,0.0,0.0,,,,,0.0,0.294,33.74,33.55,17.312,5.2,11.581,12880.897,,6.158,9.653,353.481,6.43,9148.316,166.412,19.165,71.022,-7.944,-0.426,4.942,46.178,0.84,271.67,,,,,2.504,2.109,5.04,2.896,1.62,65.847,1461.203,26.58,3619.879,79.225,28.103,3.367,1.928,67.897,1490.889,27.12,3732.582,80.835,28.978,0.19,0.563,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.768,10.191,160.782,307.303,5.59,8838.808,-1.184,-3.549,16286.412,296.258,16.662,68.619,1.145,0.43,0.0,-7.976,-0.099,23.639,0.0,62.928,1.282,0.0,0.489,1844.37,234.31,3.367,1.928,67.897,1490.889,27.12,3732.582,80.835,28.978,-0.442,-0.001,0.1,2.199,0.04,5.474,0.119,0.042,244.191,0.384,0.542,3.848,0.07,29.786,0.209,0.231
Egypt,2023,EGY,112716600.0,,,,,,0.0,0.0,0.0,,570.306,13.723,1.68,123.529,13.924,0.0,0.0,,,,,0.0,1.273,199.55,200.98,19.086,-1.146,-12.677,9703.661,,-1.347,-14.055,1572.883,177.29,9131.986,1029.326,88.213,94.109,-0.902,-5.465,600.444,1495.254,168.54,5327.022,-11.456,-73.878,5065.839,571.004,83.859,54.897,114.62,4.045,1.27,35.912,123.141,13.88,318.604,6.906,3.283,2.558,1.378,64.437,210.173,23.69,571.675,11.787,5.891,-1.43,-0.717,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.415,-10.27,414.959,77.628,8.75,3681.435,-0.348,-1.212,3076.894,346.817,4.354,37.939,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,1783.056,1093.764,2.558,1.378,64.437,210.173,23.69,571.675,11.787,5.891,-2.646,-0.421,13.623,41.431,4.67,120.859,2.324,1.245,4.057,0.529,14.902,45.601,5.14,132.212,2.557,1.362
El Salvador,2023,SLV,6364946.0,,,,,,163.395,1.04,14.404,,271.468,,,,,0.0,0.0,,,,,0.0,,7.9,7.22,,,,,,,,414.772,2.64,,,36.565,,,,,251.377,1.6,,,,,,22.161,,1.96,,,,138.257,0.88,,12.188,,,,,719.566,4.58,,63.435,,0.68,8.608,,,,0.0,0.0,,0.0,,,,,163.395,1.04,,,,,,14.404,,,2.59,1.55,,,406.916,243.521,,35.873,21.468,,1134.338,,,,,719.566,4.58,,63.435,,,,,174.393,1.11,,15.374,,,,,0.0,0.0,,0.0,
Equatorial Guinea,2023,GNQ,1714674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-27.661,-17.891,27287.908,46.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,2023,EST,1322764.0,,8.177,0.023,226.492,0.3,1005.47,1.33,20.525,0.54,416.667,-19.659,-6.735,20808.047,27.524,0.0,0.0,,,,,0.0,49.582,9.83,6.48,12.943,-12.43,-7.88,41967.047,,-14.212,-7.769,2729.134,3.61,35453.055,46.896,55.71,84.478,-8.369,-0.338,3.699,37.8,0.05,2796.299,,,,,0.772,6.663,2.7,15.493,0.009,0.069,15.12,0.02,52.166,0.309,0.124,0.502,-0.111,8.616,2169.699,2.87,6513.989,44.29,15.522,3.35,34.079,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.252,-0.696,15.673,2691.334,3.56,11848.711,,,,,54.938,28.233,4.539,1.33,0.0,-10.904,-0.556,1005.47,0.0,3431.627,20.525,0.0,8.177,4898.833,55.513,0.502,-0.111,8.616,2169.699,2.87,6513.989,44.29,15.522,22.802,0.347,1.901,582.114,0.77,1437.318,11.883,3.425,4.159,0.066,1.807,566.995,0.75,1366.387,11.574,3.256
Europe,2023,,743532558.0,,3.336,7.917,329.854,245.257,,,,0.856,,-12.531,-422.611,3967.604,2950.043,,,-6.523,-261.827,5046.572,3752.29,,10.291,,,,-1.373,-399.168,38554.629,,-3.603,-789.426,,,28404.564,21119.719,,73.674,-3.087,-281.967,8850.816,,,11903.737,-5.712,-479.002,10634.515,7907.108,,30.875,,11.603,202.994,2015.814,,,2711.131,,7.032,5.815,390.259,7546.903,,,10150.064,,26.326,,,-0.566,-22.512,2405.594,,,3235.358,,8.392,-0.902,-84.849,9318.859,,,12533.223,-0.877,-71.424,10851.042,8068.103,,32.508,640.733,,,-8.083,-57.211,,,861.741,,,2.235,,28666.621,9.051,412.771,5141.31,,,6914.707,,17.935,17.877,106.957,719.933,,,968.26,,2.511,11.529,152.115,1519.574,,,2043.722,,5.301
Europe (EI),2023,,,,2.935,6.898,,241.966,,,,1.119,,-16.22,-451.471,,2331.913,,529.878,-17.69,-291.096,,1354.423,13.925,10.784,,3805.127,21.641,-2.205,-487.531,,,-5.529,-868.243,,1220.112,,14835.767,32.065,68.608,-6.893,-343.013,4633.56,,636.927,,-7.226,-159.142,,2043.286,16.739,21.428,,13.225,188.45,1659.125,,638.699,,16.785,7.673,6.275,380.713,6788.095,,2505.263,,65.839,31.392,,,-0.839,-22.262,1834.472,,735.936,,19.341,8.484,-0.928,-73.76,7870.293,,53.306,,0.473,8.323,,1768.598,1.401,36.396,691.243,221.623,,-7.359,-56.297,,,,5.824,,3.197,,21623.861,9.14,402.976,4953.623,,1769.327,,46.499,22.908,18.237,115.785,765.991,,294.877,,7.749,3.542,10.639,148.14,1595.297,,614.128,,16.139,7.377
Europe (Ember),2023,,,,,,,,,197.88,3.996,,300.231,,,,,,713.58,,,,,14.411,,4951.58,4951.58,,,,,,,,,2044.69,,,41.294,,,,,,1201.69,,,,,,24.269,,1486.62,,,,,818.3,,16.526,,,,,,2906.89,,58.706,,,,,,,,964.99,,19.489,,,,,,129.42,,,,,,2.614,,,221.72,23.84,,,,,,4.478,0.481,,,,,,,,1941.9,,39.218,,,,,,291.92,,5.895,,,,,,609.96,,12.318,
European Union (27),2023,,448922254.0,,0.884,1.802,458.179,205.687,,,,1.313,,-20.365,-389.523,3392.958,1523.174,,,-18.206,-204.486,2046.38,918.666,,9.725,,,,-2.542,-408.487,34888.094,,-6.606,-755.12,,,23779.045,10674.942,,68.158,-7.113,-244.65,3194.59,,,7116.132,-15.725,-64.171,766.101,343.92,,20.397,,18.768,131.084,845.979,,,1884.466,,5.401,7.617,346.633,4987.101,,,11109.052,,31.842,,,1.672,19.858,1544.093,,,3439.555,,9.859,-1.99,-120.948,5957.178,,,13269.954,-5.146,-10.066,413.306,185.542,,38.036,501.151,,,-9.44,-52.652,,,1116.343,,,3.2,,15662.042,10.439,326.775,3443.008,,,7669.496,,21.983,18.031,96.103,642.091,,,1430.295,,4.1,14.12,150.438,1248.1,,,2780.213,,7.969
Finland,2023,FIN,5545476.0,,-33.391,-2.06,741.077,4.11,1996.222,11.07,13.865,1.237,79.158,-26.108,-8.684,4432.241,24.579,284.917,1.58,,,,,1.979,7.4,81.75,79.84,38.585,3.563,11.426,59896.703,,-10.827,-15.472,804.259,4.46,22978.654,127.428,5.586,38.364,6.239,0.701,11.944,95.573,0.53,2153.858,,,,,0.664,3.596,6.32,12.46,4.239,39.414,2724.743,15.11,7107.379,18.925,11.866,14.305,26.898,204.728,13593.062,75.38,36918.047,94.414,61.636,1.91,2.336,35.165,21.978,85.364,6116.697,33.92,15393.415,42.485,25.7,-7.611,-7.489,90.905,423.769,2.35,16392.555,,,,,2.943,27.368,35.054,11.07,0.0,-13.945,-5.681,1996.222,0.0,6321.132,13.865,0.0,10.553,14397.32,332.156,2.517,4.92,119.364,7476.364,41.46,21524.631,51.929,35.936,69.554,0.705,1.728,117.213,0.65,311.613,0.814,0.52,25.074,7.716,39.059,2638.187,14.63,7043.43,18.324,11.759
France,2023,FRA,64756584.0,,-3.441,-1.383,599.209,38.803,146.703,9.5,1.848,1.612,56.039,-23.341,-15.036,762.587,49.383,33.356,2.16,,,,,0.42,2.052,464.18,514.11,30.868,4.702,108.073,37164.297,,-5.702,-69.899,668.658,43.3,17850.02,1155.906,8.422,48.03,-11.747,-45.076,338.642,485.356,31.43,5229.455,,,,,6.113,14.071,28.81,25.417,28.81,144.228,821.384,53.19,2227.24,10.346,5.993,15.881,177.972,1250.727,7270.458,470.81,19314.277,91.578,51.97,-49.93,-10.757,14.749,105.682,843.039,5183.257,335.65,13018.581,65.288,35.03,-1.258,-9.786,767.882,149.946,9.71,11857.977,,,,,1.889,31.907,30.978,10.1,0.6,-0.286,-0.089,155.969,9.265,478.372,1.965,0.117,1.287,7939.115,2406.633,18.087,72.29,407.688,2087.201,135.16,6295.697,26.29,16.94,16.212,7.881,57.792,359.191,23.26,892.447,4.524,2.401,38.016,37.071,135.887,750.657,48.61,2098.429,9.455,5.646
G20 (Ember),2023,,,,,,,,,634.05,2.547,,477.064,,,,,,9695.49,,,,,38.948,,24893.25,24893.25,,,,,,,,,14781.65,,,59.38,,,,,,4599.79,,,,,,18.478,,11875.68,,,,,3185.34,,12.796,,,,,,10111.6,,40.62,,,,,,,,2526.4,,10.149,,,,,,486.37,,,,,,1.954,,,686.48,52.43,,,,,,2.758,0.211,,,,,,,,7585.2,,30.471,,,,,,1503.54,,6.04,,,,,,2209.84,,8.877,
G7 (Ember),2023,,,,,,,,,211.6,2.832,,340.916,,,,,,1190.48,,,,,15.932,,7472.43,7472.43,,,,,,,,,3870.68,,,51.799,,,,,,2552.39,,,,,,34.157,,2547.47,,,,,788.98,,10.559,,,,,,3601.75,,48.201,,,,,,,,1327.39,,17.764,,,,,,127.81,,,,,,1.71,,,236.75,25.15,,,,,,3.168,0.337,,,,,,,,2274.36,,30.437,,,,,,484.3,,6.481,,,,,,764.33,,10.229,
Gabon,2023,GAB,2436570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,17.031,18.846,53147.293,129.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,2023,GEO,3728278.0,,,,,,0.0,0.0,0.0,,167.594,,,,,0.0,0.0,,,,,0.0,,13.69,14.38,,,,,,,,922.678,3.44,,,23.922,,,,,922.678,3.44,,,,,,23.922,,2.41,,,,2910.191,10.85,,75.452,,,,,2934.33,10.94,,76.078,,-0.69,-5.04,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,3857.009,,,,,2934.33,10.94,,76.078,,,,,0.0,0.0,,0.0,,,,,24.14,0.09,,0.626,
Germany,2023,DEU,83294632.0,,3.533,1.234,434.309,36.176,552.497,46.02,9.117,1.141,380.95,-20.964,-134.538,6089.495,507.222,1624.955,135.35,-23.208,-76.9,3054.752,254.444,26.813,16.003,513.71,504.79,18.78,-7.133,-243.45,38052.27,,-8.422,-218.725,2779.051,231.48,28553.773,2378.376,45.857,75.038,-2.426,-18.809,756.638,912.424,76.0,9083.876,-10.597,-4.512,456.946,38.061,15.056,23.872,192.3,11.432,5.067,51.015,233.869,19.48,612.47,3.859,1.61,-2.608,-24.726,791.174,3281.244,273.31,9498.495,54.143,24.962,8.92,1.736,-79.21,-68.848,17.987,105.049,8.75,215.949,1.733,0.568,-5.541,-65.378,1114.516,241.672,20.13,13380.403,,,,,3.988,35.163,157.841,46.23,0.21,-4.646,-7.7,555.018,2.521,1894.975,9.158,0.042,4.98,6060.295,3169.55,6.574,44.122,773.186,3176.195,264.56,9282.546,52.41,24.394,1.512,1.798,159.018,739.063,61.56,1909.108,12.195,5.017,13.85,43.723,369.136,1648.245,137.29,4431.685,27.197,11.646
Greece,2023,GRC,10341276.0,,-0.397,-0.011,277.827,2.873,55.119,0.57,1.154,0.941,336.574,-28.282,-5.215,1278.679,13.223,456.423,4.72,-23.604,-4.553,1425.047,14.737,9.559,4.333,54.34,49.38,18.513,-2.913,-9.156,29510.961,,-5.333,-13.47,2382.685,24.64,23123.361,239.125,49.899,78.355,-13.144,-8.145,53.822,1513.353,15.65,5204.58,,,,,31.693,17.636,16.62,2.384,0.202,10.253,374.228,3.87,991.49,7.837,3.36,6.723,4.314,66.056,2392.355,24.74,6387.6,50.101,21.645,4.96,9.128,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.064,-0.111,172.08,412.908,4.27,16640.104,,,,,8.647,56.386,2.241,0.57,0.0,23.235,0.422,55.119,0.0,216.684,1.154,0.0,0.734,4775.04,305.181,6.723,4.314,66.056,2392.355,24.74,6387.6,50.101,21.645,19.045,3.465,22.079,908.012,9.39,2135.022,19.016,7.235,1.199,0.236,28.61,1054.996,10.91,2766.577,22.094,9.375
Guyana,2023,GUY,813832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,40.796,65.64,278362.938,226.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High-income countries,2023,,1228595591.0,,9.74,69.529,637.601,783.354,,,,1.207,,-13.3,-1064.18,5646.496,6937.26,,,-1.366,-107.069,6291.729,7729.99,,10.688,,,,-1.356,-892.531,52831.379,,-2.79,-1441.637,,,40888.77,50235.762,,77.395,-1.944,-363.203,18322.238,,,14913.156,1.905,360.178,15685.938,19271.674,,28.228,,1.569,38.924,3282.22,,,2671.522,,5.057,4.728,549.109,14672.639,,,11942.61,,22.605,,,2.533,99.137,4687.668,,,3815.469,,7.222,-0.057,-14.252,24976.264,,,20329.117,3.797,734.707,16347.069,20083.938,,38.479,1117.002,,,-4.181,-50.639,,,909.169,,,1.721,,64908.398,5.728,449.972,9984.97,,,8127.141,,15.383,15.419,250.774,1922.687,,,1564.947,,2.962,5.547,141.384,2879.706,,,2343.9,,4.437
Hong Kong,2023,HKG,7491602.0,,21.273,0.235,178.758,1.339,,,,0.534,,-2.3,-0.961,5446.802,40.805,,,,,,,,16.261,,37.887,15.137,15.397,33.484,33497.102,,15.415,33.202,,,33182.871,248.593,,99.062,6.935,3.143,48.468,,,6469.618,,,,,,19.314,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.363,0.282,2.354,48.459,0.363,314.231,0.958,0.938,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.177,31.019,159.32,,,21266.449,,,,,,63.487,0.386,0.121,,7.951,0.028,16.137,,51.514,0.319,,0.154,5057.215,250.947,17.363,0.282,2.354,48.459,0.363,314.231,0.958,0.938,3.436,0.019,0.627,32.211,0.241,83.672,0.637,0.25,0.0,-0.0,0.002,0.111,0.001,0.287,0.002,0.001
Hungary,2023,HUN,10156241.0,,5.798,0.204,366.001,3.717,172.308,1.75,4.888,1.47,204.19,-30.23,-4.375,994.128,10.097,273.723,2.78,-17.364,-1.573,737.067,7.486,7.765,3.992,46.9,35.8,16.704,-5.275,-14.084,24904.189,,-8.5,-17.232,1051.57,10.68,18263.344,185.487,29.832,73.334,-10.947,-10.061,81.848,743.385,7.55,8058.92,,,,,21.089,32.36,7.31,24.67,0.112,0.576,21.662,0.22,56.759,0.615,0.228,5.794,3.148,67.446,2473.356,25.12,6640.845,70.168,26.666,11.1,23.667,0.669,0.12,39.678,1567.509,15.92,3906.806,44.469,15.687,-2.902,-2.796,93.542,34.462,0.35,9210.295,,,,,0.978,36.983,4.82,1.75,0.0,-29.348,-2.015,172.308,0.0,474.606,4.888,0.0,1.906,3524.926,252.933,13.046,3.028,27.768,905.847,9.2,2734.039,25.698,10.978,38.137,4.643,16.98,649.847,6.6,1671.872,18.436,6.713,5.628,0.083,1.674,62.031,0.63,164.801,1.76,0.662
Iceland,2023,ISL,375322.0,,2.747,0.005,538.428,0.202,,,,,,-28.096,-0.378,2580.386,0.968,,,,,,,,,,20.241,64.999,-1.408,-0.898,167421.547,,,,,,,,,,,,,,,,,,,,,,,0.178,-0.069,36.941,37889.738,14.221,98424.734,70.258,,0.6,0.11,52.133,53911.102,20.234,138901.734,99.967,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,-6.074,-0.63,9.736,,,25939.43,,,,,,,14.971,6.006,,1.519,0.17,16002.084,,39888.488,29.672,,,53929.078,62.837,0.6,0.11,52.133,53911.102,20.234,138901.734,99.967,,374.305,0.0,0.0,0.024,0.0,0.063,0.0,,26.254,0.004,0.019,19.257,0.007,50.023,0.036,
India,2023,IND,1428627712.0,,22.563,6.321,24.035,34.337,27.516,39.31,1.998,0.317,713.441,9.766,543.244,4273.963,6105.902,1036.281,1480.46,11.305,472.567,3256.773,4652.717,75.23,56.339,1956.97,1967.9,19.416,7.272,734.673,7586.2,,8.037,719.283,1074.948,1535.7,6768.019,9668.979,78.037,89.215,7.484,43.595,626.103,35.895,51.28,438.255,5.985,17.836,221.09,315.855,2.606,5.777,1403.98,-14.73,-68.594,387.486,104.429,149.19,271.23,7.581,3.575,2.559,15.39,1168.877,302.528,432.2,818.181,21.962,10.785,-10.93,-0.559,4.351,4.59,120.159,33.732,48.19,84.108,2.449,1.109,4.723,132.444,2936.974,2.772,3.96,2055.801,-1.425,-5.472,264.999,378.585,0.201,27.099,119.01,37.282,,-3.333,-4.103,26.096,,83.304,1.894,,1.098,1377.476,10837.855,2.355,10.8,1048.717,268.796,384.01,734.073,19.514,9.676,19.18,46.509,294.599,79.384,113.41,206.211,5.763,2.718,17.219,30.667,213.285,57.468,82.1,149.293,4.172,1.968
